Code depot;Article;Designation;Rangement;Stock reel;Stock mini;Mini à commander;Maxi à commander;Cde cli en cours;Cde four en cours;Prix unitaire de vente;Prix unitaire d'achat;Numeros de serie;Famille article;Autre designation;Fournisseurs;Code fournisseur;Référence fournisseur;Code famille fournisseur
000;A14062;CI 7408 74HCT1G08GW-Q100 1 ET SIMPLE 2 I/P TSSOP-5  NXP  ;11J25;2;0;0;0;0;0;0;0,18;;ACTIF;"MARQUAGE CMS ""TE""";A14062*F40*;F40;2445099;BCA
000;A14063;NAPPE 100PTS PAS 0.75mm L=100mm HEAT SEAL CONN. PRINTED CARBON ;15A23;493;30;500;500;0;0;0;0,9;;CONNECTEUR;;A14063*E149*;E149;12982;
000;A14064;CONN MALE 6PTS AMPHENOL - MS3106F14S-6P ;;0;0;0;0;0;0;49,5;21,04;;CONNECTEUR;CP A14065;A14064*F40*;F40;2334735;BCA
000;A14065;EMBASE FEM 6PTS AMPHENOL - MS3102E14S-6S;;0;0;0;0;0;0;18,31;8,7;;CONNECTEUR;CP A14064;A14065*E46*;E46;654-MS3102E14S-6S;BCA
000;A14066;JOINT CARRE POUR EMBASE TAILLE 14S AMPHENOL - 10-40450-14;GRENIER;0;0;0;0;0;0;2,26;0,73;;CONNECTEUR;POUR CONN A14065 ET POUR EMBASE 14S;A14066*F40*;F40;2482359;BCA
000;A14067;EMBASE MALE 3PTS RPC2 HIROSE - RPC2-12RB-3P(71);;0;0;0;0;0;0;3,63;1,59;;CONNECTEUR;CP A14068;A14067*F40*;F40;1077726;BCA
000;A14068;CONN FEM 3PTS RPC2 HIROSE - RPC2-12P-3S(73);;0;0;0;0;0;0;10,28;4,56;;CONNECTEUR;CP A14067;A14068*F40*;F40;1077723;BCA
000;A14069;TRANSISTOR PNP SILICIUM - 2SB1136 ;;0;0;0;0;0;0;42,6;2,38;;ACTIF;;A14069*F372*;F372;;BCA
000;A1407;ROLLER PROP. JOYSTICK SAUER DANFOSS - 162B3100=162B3301;19P06;0;1;2;5;0;2;598;245,37;;COMMUT;;A1407*F112*;F112;162B3100;BCA
000;A14070;"Dalle tactile 7"" résistive 5 fils (16:10) 168x103x2mm";17B06;28;25;20;50;0;0;0;25;;MONITEUR;;A14070*F431*;F431;5WR070-6-SC;BCA
000;A14071;CI  MT46H64M16LFBF-5 IT : B   MICRON TECH;;0;0;0;0;0;0;0;9,56;;ACTIF;;A14071*E45*;E45;557-1626-ND;BCA
000;A14072;CI TD62304AF CMS;12o30;8;0;0;0;0;0;0;1,19;;ACTIF;;;;;
000;A14073;££ VOIR A0434 ££    ;;0;0;0;0;0;0;0;0;;;;;;;
000;A14074;CAPTEUR PLASTIC BARREL M8 NO HAMLIN  59070-1-S-02-A;;0;0;0;1;0;0;16,05;2,56;;CAPTEUR;;A14074*F40*;F40;5540859;BCA
000;A14075;FACE AVANT CLAAS COMMUNICATOR;5D07;15;5;15;15;0;0;0;14,2;;CLAVIER;;A14075*F258*;F258;;BCA
000;A14076;CI CS18LV00645PCR70;12o12;1;0;0;0;0;0;0;5;;ACTIF;;;;;
000;A14077;DECAPANT VERNIS DE TROPICALISATION 8310A-55ML;1B00;2;0;0;0;0;0;0;11,44;;OUTILLAGE;;A14077*F40*;F40;2889757;BCA
000;A14078;CI MB90F428GCPF-G ;12N36;4;1;5;5;0;0;0;22,5;;ACTIF;;;;;
000;A14079;"MONITEUR  5.0""  BRIGADE - VBV-750M   ";;0;0;0;0;0;0;420;244,82;;MONITEUR;REMPLACE A8655 VBV750-DM - TARIF ACHAT 05/24 : 244.82 ;A14079*F251*;F251;4287;BCA
000;A1408;SOUFFLET JOYSTICK ALO WALVOIL - 3SOF144390;2C03;52;10;20;100;0;0;41,1;3,01;;ELECTROMEC;;A1408*F139*;F139;2072;BCA
000;A14080;CI PROGRAMME TSE3.5;;0;0;0;0;0;0;0;21;;ACTIF;;A14080*E29*;E29;;CNI
000;A14081;CONDENSATEUR HAUTE TEMPERATURE 220µF 35V  U767D ;;0;0;0;0;0;0;0;0;;PASSIF;;;;;
000;A14082;AFF LCD POUR FIAT STILO;MEZZANINE;0;0;0;0;0;0;0;15;;OPTO-ELECT;;A14082*E90*;E90;STILOLCD;BCA
000;A14083;Pinlite 7 Segment Display + Left Handed Decimal - 14 Pin DIP;;0;0;0;0;0;0;0;69;;OPTO-ELECT;;A14083*E151*;E151;DIP641L;
000;A14084;Pinlite Segment Display 14 Pin DIP ;;0;0;0;0;0;0;0;85;;OPTO-ELECT;;A14084*E151*;E151;DIP640;
000;A14085;MOTEUR 230V POUR WFEP WELLER 0058735907;COFFRE FORT;1;0;0;0;0;0;0;212;;OUTILLAGE;;A14085*F7*;F7;ZOSD8735907;BCA
000;A14086;CI AT89C51-24PI  DIP40;;0;0;0;0;0;0;0;3,35;;ACTIF;;;;;
000;A14087;CI 10031-PG-01-A Hydac PIC12F683 MONTE SUR EPANDEUR 601875;13W30;2;0;0;0;0;0;0;83;;ACTIF;;A14087*F125*;F125;;BCA
000;A1409;SUPPORT DIP 28PTS TULIPE (7.62mm);AT.TIROIR8;16;0;10;20;0;0;0;0,65;;SUPPORT;;A1409*F7*;F7;KYT28-3;BCA
000;A14090;"AFF 12.1""  G121SN01 V4";3E09;3;1;2;2;0;0;0;80;;OPTO-ELECT;;A14090*A9*;A9;258535;BCA
000;A14091;RESEAUX DE RESISTANCE 22 OHMS 0.25W  CAT16-220J4LF;;0;0;0;0;0;0;0;0,02;;PASSIF;;A14091*F80*;F80;5225456;BCA
000;A14092;EMBASE MALE 3PTS JST - B3B-XH-A (LF)(SN)   ;8H12;1;0;0;0;0;0;0;0,1;;CONNECTEUR;CONTACT A7797 CP A7905 ;;;;
000;A14093;CONN FEM 4PTS GET.64 TE CONN - 9-1419167-0;;0;0;0;0;0;0;0;4,23;;CONNECTEUR;;A14093*E46*;E46;571-9-1419167-0;BCA
000;A14094;CONTACT  FEM  0.5-0.75mm² GET.64 TE CONN - 1393366-1  ;18H18;87;10;50;50;0;0;1,02;0,16;;CONNECTEUR;UDV  50 CHEZ RS  POUR CONN A16794 PINCE : A12182;A14094*F80*;F80;7187145 ;BCA
000;A14095;CONTACT MALE 0.5-0.75mm²  MQS0.63 TE CONN - 5-963716-2;18L18;118;0;0;0;0;0;0,88;0,19;;CONNECTEUR;;A14095*F40*;F40;3394200;BCA
000;A14096;CONN FEM 4PTS MQS ST-GEH EDS TE CONN - 1-967584-1;;0;0;0;0;0;0;0;3,35;;CONNECTEUR;;A14096*E46*;E46;571-1-967594-1;BCA
000;A14097;CI AIS326DQ;;0;0;0;0;0;0;0;18;;ACTIF;;;;;
000;A14098;Batterie telecommande ELCA PINC-MH 7.2V 1000AH;;0;0;0;0;0;0;0;33,34;;ENERGIE;;A14098*F374*;F374;MON305;BCA
000;A14099;RESISTANCE 0.15 ohm, 2 W, ± 5%, 50 V, Axial;;0;0;0;0;0;0;0;0,31;;PASSIF;;A14099*F40*;F40;1219188;BCA
000;A1410;BOITIER PLAST INCLIN BRAUD - MCE944024276;;0;0;0;1;0;0;529;140;;INCLINOMET;;A1410*E18*;E18;1613;CNI
000;A14100;AFFICHEUR EW50793FLWP pour telecommande nissen;;0;0;0;0;0;0;0;189,5;;OPTO-ELECT;;;;;
000;A14101;EMBASE FEM 9PTS (8+1) LAPP - 50101200+00008705;;0;0;0;0;0;0;0;15,26;;CONNECTEUR;CP A11885;A14101*F80*;F80;531762;BCA
000;A14103;PESON DISGISTAR 2.5 DB-21 W/FLATS;;0;0;0;0;0;0;594;255;;PESEE;;A14103*E4*;E4;400370;CNI
